135,8,13
135,7,15
136,7,18
137,7,21
139,6,24
140,6,26
141,6,28
142,6,31
143,6,33
144,6,35
145,5,37
145,5,39
146,5,40
147,5,42
148,5,44
149,5,46
150,5,47
151,5,49
151,4,51
152,4,53
154,4,56
154,4,58
155,4,60
156,4,62
156,4,62
156,4,64
157,3,66
158,3,67
158,3,69
159,3,71
159,3,72
160,3,74
161,2,75
161,2,77
162,2,79
162,2,80
163,2,81
163,2,83
164,1,85
164,1,86
165,1,89
165,1,91
166,1,92
166,1,94
166,1,96
167,0,97
167,0,99
167,0,99
167,0,101
167,0,102
168,0,104
168,0,105
168,0,107
168,0,109
168,0,110
168,0,112
168,0,113
168,1,115
168,1,116
168,1,117
168,1,120
168,2,122
168,2,123
168,3,125
168,3,126
168,4,128
167,4,129
167,5,131
167,5,132
166,6,134
166,6,134
166,7,135
165,8,137
165,9,138
165,10,140
164,11,141
164,12,142
163,13,144
163,14,145
162,16,148
161,17,149
161,19,150
160,20,152
159,21,153
159,22,154
158,23,156
157,24,157
157,25,158
156,26,160
155,27,161
154,29,162
154,30,163
153,31,165
152,31,165
151,32,166
150,33,167
149,34,169
148,35,170
148,37,171
147,39,173
146,40,174
145,41,176
144,42,177
143,43,178
142,44,179
141,46,180
140,47,181
139,48,182
138,49,183
137,50,184
136,51,186
136,52,187
135,53,188
134,55,189
133,56,190
132,57,191
131,57,191
130,58,192
129,59,193
128,61,195
127,62,196
126,64,197
125,65,198
124,66,199
123,67,200
122,68,201
122,69,202
121,70,203
120,71,204
119,73,204
118,74,205
117,75,206
116,76,207
115,77,208
114,78,209
113,79,210
113,81,211
111,82,212
110,83,213
109,84,213
109,85,214
108,86,215
107,87,216
106,88,217
106,90,218
105,91,218
104,92,219
103,93,220
102,94,221
101,95,222
100,97,222
99,98,223
99,99,224
98,100,225
97,101,226
96,102,226
95,104,227
93,105,228
93,106,229
92,107,229
91,108,230
90,110,231
89,111,231
89,112,232
88,113,233
87,114,233
87,116,234
86,117,235
85,118,235
84,119,236
83,121,237
82,122,237
81,123,238
81,124,239
80,126,239
79,127,240
78,128,240
76,129,241
75,131,241
75,132,242
74,133,243
73,135,243
72,136,244
71,137,244
70,139,245
69,140,245
69,141,246
68,143,246
68,144,247
67,145,247
66,147,247
65,148,248
64,149,248
63,151,249
62,152,249
62,154,249
60,155,250
59,157,250
58,158,250
57,159,251
56,161,251
56,162,251
55,163,252
54,165,252
53,166,252
52,168,252
51,169,252
51,171,253
50,172,253
50,174,253
49,175,253
48,177,253
47,178,253
47,180,253
46,181,253
45,183,254
44,185,254
43,186,254
42,188,254
42,189,254
41,191,254
41,192,253
40,194,253
39,195,253
39,197,253
39,198,253
38,200,253
38,202,253
37,203,252
37,205,252
37,206,252
37,208,252
37,210,252
36,211,251
36,213,251
36,215,251
36,217,250
36,219,249
36,220,249
37,222,248
37,224,248
37,225,247
37,227,247
37,229,246
38,230,246
38,232,245
38,233,245
39,235,244
39,237,243
39,238,243
39,240,242
38,242,241
37,244,241
36,245,240
35,247,240
33,249,240
