4,0,0
4,0,0
5,0,1
7,1,1
9,1,1
11,1,2
13,2,2
15,2,2
17,2,3
19,3,4
21,3,4
24,4,5
25,4,6
27,5,7
29,5,8
32,6,9
34,7,10
36,7,11
38,8,12
41,8,13
45,9,16
48,10,17
50,10,18
52,11,20
54,11,20
56,11,21
59,11,23
61,12,24
64,12,26
66,12,27
68,12,29
70,12,30
73,12,32
75,12,34
77,12,35
79,12,36
81,11,38
83,11,40
85,11,41
87,11,43
91,10,47
92,10,49
94,10,50
95,10,52
97,9,54
98,9,56
99,9,57
99,9,58
100,9,60
101,9,61
102,9,63
103,10,65
104,10,67
104,10,68
105,10,70
106,11,72
106,11,73
107,12,75
107,12,76
108,13,77
108,14,81
109,14,82
109,15,84
109,15,85
110,16,87
110,16,89
110,17,90
110,18,92
110,18,93
110,19,95
110,19,96
110,19,97
110,20,99
110,21,100
110,21,102
110,22,104
110,22,105
110,23,107
110,24,108
110,25,111
110,25,113
110,26,114
110,26,116
110,27,117
109,28,119
109,28,120
109,29,122
109,29,124
109,30,125
108,30,127
108,31,128
108,32,130
107,32,132
107,32,132
107,33,134
106,33,135
106,34,137
105,34,139
105,35,140
105,36,143
104,37,144
104,37,146
103,38,147
103,38,149
102,39,151
102,39,152
101,40,154
100,41,155
100,41,157
99,42,159
99,42,160
98,43,162
97,44,163
96,44,165
96,45,166
95,46,168
94,46,168
94,46,170
93,47,172
92,48,174
91,49,176
90,50,177
90,50,179
89,51,180
88,52,182
87,53,183
86,53,185
85,54,186
84,55,188
83,56,189
82,57,191
81,58,192
80,58,193
79,59,195
78,60,196
77,61,198
76,62,199
74,63,200
73,64,202
72,65,203
72,66,204
71,67,206
70,68,207
69,69,208
68,70,210
67,71,211
66,72,212
65,74,213
63,75,215
62,76,216
61,77,217
60,78,218
59,80,219
58,81,221
56,82,222
55,83,223
54,85,224
52,86,225
51,87,226
50,89,227
48,90,228
47,92,229
46,93,230
46,94,231
45,96,232
43,97,233
42,99,234
41,100,235
40,102,235
38,103,236
37,105,237
36,106,238
35,108,239
33,110,239
32,111,240
31,113,241
29,115,241
27,116,242
26,118,243
24,120,243
23,121,244
22,123,245
20,125,245
19,126,246
18,128,246
17,130,247
16,132,247
15,133,248
14,135,248
12,137,248
11,139,249
10,140,249
9,142,249
8,144,250
7,146,250
7,148,250
6,150,251
6,152,251
6,153,251
6,155,251
7,157,251
7,159,252
8,161,252
9,163,252
10,165,252
12,166,252
13,168,252
15,170,252
17,172,252
18,174,252
20,176,252
22,178,252
24,180,252
26,182,251
29,184,251
31,186,251
34,189,251
36,191,250
39,193,250
41,195,250
43,197,250
45,198,249
48,199,249
51,201,249
53,203,248
55,205,248
58,207,247
61,209,247
64,211,246
67,213,246
70,215,245
73,217,245
76,219,245
79,221,244
83,223,244
86,225,244
92,228,243
96,229,242
99,231,242
103,233,242
107,235,241
111,236,241
115,238,241
119,240,241
122,241,241
127,242,242
131,244,242
135,245,243
139,246,243
143,248,244
146,249,245
150,250,246
154,251,248
157,252,249
161,253,250
164,255,252
